"","ID","Location","Tapping","Tree_num","C_pos.","Coordinates","Tree_ID","lat","lon"
"1","AW-1-T-03-T-D1","AW-1","T",3,"T","12° 41.7805' N  36° 18.8301' E","AW-1-T-03-T",12.6963416666667,36.313835
"257","AW-1-T-03-M-D1","AW-1","T",3,"M","12° 41.7805' N  36° 18.8301' E","AW-1-T-03-M",12.6963416666667,36.313835
"513","AW-1-T-03-L-D1","AW-1","T",3,"L","12° 41.7805' N  36° 18.8301' E","AW-1-T-03-L",12.6963416666667,36.313835
"769","AW-1-T-06-T-D1","AW-1","T",6,"T","12° 41.7816' N  36° 18.8268' E","AW-1-T-06-T",12.69636,36.31378
"1025","AW-1-T-06-M-D1","AW-1","T",6,"M","12° 41.7816' N  36° 18.8268' E","AW-1-T-06-M",12.69636,36.31378
"1281","AW-1-T-06-L-D1","AW-1","T",6,"L","12° 41.7816' N  36° 18.8268' E","AW-1-T-06-L",12.69636,36.31378
"1537","AW-1-T-09-T-D1","AW-1","T",9,"T","12° 41.7816' N  36° 18.8268' E","AW-1-T-09-T",12.69636,36.31378
"1793","AW-1-T-09-M-D1","AW-1","T",9,"M","12° 41.7845' N  36° 18.8260' E","AW-1-T-09-M",12.6964083333333,36.3137666666667
"2049","AW-1-T-09-L-D1","AW-1","T",9,"L","12° 41.7845' N  36° 18.8260' E","AW-1-T-09-L",12.6964083333333,36.3137666666667
"2305","AW-1-T-12-T-D1","AW-1","T",12,"T","12° 41.7902' N  36° 18.8346' E","AW-1-T-12-T",12.6965033333333,36.31391
"2561","AW-1-T-12-M-D1","AW-1","T",12,"M","12° 41.7902' N  36° 18.8346' E","AW-1-T-12-M",12.6965033333333,36.31391
"2817","AW-1-T-12-L-D1","AW-1","T",12,"L","12° 41.7902' N  36° 18.8346' E","AW-1-T-12-L",12.6965033333333,36.31391
"3073","AW-1-T-15-T-D1","AW-1","T",15,"T","12° 41.7931' N  36° 18.8411' E","AW-1-T-15-T",12.6965516666667,36.3140183333333
"3329","AW-1-T-15-M-D1","AW-1","T",15,"M","12° 41.7931' N  36° 18.8411' E","AW-1-T-15-M",12.6965516666667,36.3140183333333
"3585","AW-1-T-15-L-D1","AW-1","T",15,"L","12° 41.7931' N  36° 18.8411' E","AW-1-T-15-L",12.6965516666667,36.3140183333333
"3841","AW-1-T-18-T-D1","AW-1","T",18,"T","12° 41.7899' N  36° 18.8418' E","AW-1-T-18-T",12.6964983333333,36.31403
"4097","AW-1-T-18-M-D1","AW-1","T",18,"M","12° 41.7899' N  36° 18.8418' E","AW-1-T-18-M",12.6964983333333,36.31403
"4353","AW-1-T-18-L-D1","AW-1","T",18,"L","12° 41.7899' N  36° 18.8418' E","AW-1-T-18-L",12.6964983333333,36.31403
"4609","AW-1-T-21-T-D1","AW-1","T",21,"T","12° 41.7851' N  36° 18.8457' E","AW-1-T-21-T",12.6964183333333,36.314095
"4865","AW-1-T-21-M-D1","AW-1","T",21,"M","12° 41.7851' N  36° 18.8457' E","AW-1-T-21-M",12.6964183333333,36.314095
"5121","AW-1-T-21-L-D1","AW-1","T",21,"L","12° 41.7843' N  36° 18.8483' E","AW-1-T-21-L",12.696405,36.3141383333333
"5377","AW-1-T-24-T-D1","AW-1","T",24,"T","12° 41.7866' N  36° 18.8572' E","AW-1-T-24-T",12.6964433333333,36.3142866666667
"5633","AW-1-T-24-M-D1","AW-1","T",24,"M","12° 41.7866' N  36° 18.8572' E","AW-1-T-24-M",12.6964433333333,36.3142866666667
"5889","AW-1-T-24-L-D1","AW-1","T",24,"L","12° 41.7866' N  36° 18.8572' E","AW-1-T-24-L",12.6964433333333,36.3142866666667
"6145","AW-1-T-27-T-D1","AW-1","T",27,"T","12° 41.7850' N  36° 18.8509' E","AW-1-T-27-T",12.6964166666667,36.3141816666667
"6401","AW-1-T-27-M-D1","AW-1","T",27,"M","12° 41.7850' N  36° 18.8509' E","AW-1-T-27-M",12.6964166666667,36.3141816666667
"6657","AW-1-T-27-L-D1","AW-1","T",27,"L","12° 41.7850' N  36° 18.8509' E","AW-1-T-27-L",12.6964166666667,36.3141816666667
"6913","AW-1-T-30-T-D1","AW-1","T",30,"T","12° 41.7916' N  36° 18.8488' E","AW-1-T-30-T",12.6965266666667,36.3141466666667
"7169","AW-1-T-30-M-D1","AW-1","T",30,"M","12° 41.7916' N  36° 18.8488' E","AW-1-T-30-M",12.6965266666667,36.3141466666667
"7425","AW-1-T-30-L-D1","AW-1","T",30,"L","12° 41.7916' N  36° 18.8488' E","AW-1-T-30-L",12.6965266666667,36.3141466666667
"7681","AW-1-I-03-T-D1","AW-1","I",3,"T","12° 41.7635' N  36° 18.8299' E","AW-1-I-03-T",12.6960583333333,36.3138316666667
"7937","AW-1-I-03-M-D1","AW-1","I",3,"M","12° 41.7635' N  36° 18.8299' E","AW-1-I-03-M",12.6960583333333,36.3138316666667
"8193","AW-1-I-03-L-D1","AW-1","I",3,"L","12° 41.7635' N  36° 18.8299' E","AW-1-I-03-L",12.6960583333333,36.3138316666667
"8449","AW-1-I-06-T-D1","AW-1","I",6,"T","12° 41.7655' N  36° 18.8324' E","AW-1-I-06-T",12.6960916666667,36.3138733333333
"8705","AW-1-I-06-M-D1","AW-1","I",6,"M","12° 41.7655' N  36° 18.8324' E","AW-1-I-06-M",12.6960916666667,36.3138733333333
"8961","AW-1-I-06-L-D1","AW-1","I",6,"L","12° 41.7655' N  36° 18.8324' E","AW-1-I-06-L",12.6960916666667,36.3138733333333
"9217","AW-1-I-09-T-D1","AW-1","I",9,"T","12° 41.7655' N  36° 18.8324' E","AW-1-I-09-T",12.6960916666667,36.3138733333333
"9473","AW-1-I-09-M-D1","AW-1","I",9,"M","12° 41.7655' N  36° 18.8324' E","AW-1-I-09-M",12.6960916666667,36.3138733333333
"9729","AW-1-I-09-L-D1","AW-1","I",9,"L","12° 41.7655' N  36° 18.8324' E","AW-1-I-09-L",12.6960916666667,36.3138733333333
"9985","AW-1-I-12-T-D1","AW-1","I",12,"T","12° 41.7683' N  36° 18.8337' E","AW-1-I-12-T",12.6961383333333,36.313895
"10241","AW-1-I-12-M-D1","AW-1","I",12,"M","12° 41.7683' N  36° 18.8337' E","AW-1-I-12-M",12.6961383333333,36.313895
"10497","AW-1-I-12-L-D1","AW-1","I",12,"L","12° 41.7683' N  36° 18.8337' E","AW-1-I-12-L",12.6961383333333,36.313895
"10753","AW-1-I-15-T-D1","AW-1","I",15,"T","12° 41.7743' N  36° 18.8417' E","AW-1-I-15-T",12.6962383333333,36.3140283333333
"11009","AW-1-I-15-M-D1","AW-1","I",15,"M","12° 41.7743' N  36° 18.8417' E","AW-1-I-15-M",12.6962383333333,36.3140283333333
"11265","AW-1-I-15-L-D1","AW-1","I",15,"L","12° 41.7743' N  36° 18.8417' E","AW-1-I-15-L",12.6962383333333,36.3140283333333
"11521","AW-1-I-18-T-D1","AW-1","I",18,"T","12° 41.7743' N  36° 18.8417' E","AW-1-I-18-T",12.6962383333333,36.3140283333333
"11777","AW-1-I-18-M-D1","AW-1","I",18,"M","12° 41.7743' N  36° 18.8417' E","AW-1-I-18-M",12.6962383333333,36.3140283333333
"12033","AW-1-I-18-L-D1","AW-1","I",18,"L","12° 41.7743' N  36° 18.8417' E","AW-1-I-18-L",12.6962383333333,36.3140283333333
"12289","AW-1-I-21-T-D1","AW-1","I",21,"T","12° 41.7765' N  36° 18.8362' E","AW-1-I-21-T",12.696275,36.3139366666667
"12545","AW-1-I-21-M-D1","AW-1","I",21,"M","12° 41.7765' N  36° 18.8362' E","AW-1-I-21-M",12.696275,36.3139366666667
"12801","AW-1-I-21-L-D1","AW-1","I",21,"L","12° 41.7765' N  36° 18.8362' E","AW-1-I-21-L",12.696275,36.3139366666667
"13057","AW-1-I-24-T-D1","AW-1","I",24,"T","12° 41.7771' N  36° 18.8332' E","AW-1-I-24-T",12.696285,36.3138866666667
"13313","AW-1-I-24-M-D1","AW-1","I",24,"M","12° 41.7771' N  36° 18.8332' E","AW-1-I-24-M",12.696285,36.3138866666667
"13569","AW-1-I-24-L-D1","AW-1","I",24,"L","12° 41.7771' N  36° 18.8332' E","AW-1-I-24-L",12.696285,36.3138866666667
"13825","AW-1-I-27-T-D1","AW-1","I",27,"T","12° 41.7771' N  36° 18.8332' E","AW-1-I-27-T",12.696285,36.3138866666667
"14081","AW-1-I-27-M-D1","AW-1","I",27,"M","12° 41.7771' N  36° 18.8332' E","AW-1-I-27-M",12.696285,36.3138866666667
"14337","AW-1-I-27-L-D1","AW-1","I",27,"L","12° 41.7798' N  36° 18.8337' E","AW-1-I-27-L",12.69633,36.313895
"14593","AW-1-I-30-T-D1","AW-1","I",30,"T","12° 41.7798' N  36° 18.8337' E","AW-1-I-30-T",12.69633,36.313895
"14849","AW-1-I-30-M-D1","AW-1","I",30,"M","12° 41.7798' N  36° 18.8337' E","AW-1-I-30-M",12.69633,36.313895
"15105","AW-1-I-30-L-D1","AW-1","I",30,"L","12° 41.7798' N  36° 18.8337' E","AW-1-I-30-L",12.69633,36.313895
"15361","AW-1-O-1-T-D1","AW-1","O",1,"T","12° 41.7893' N  36° 18.8191' E","AW-1-O-1-T",12.6964883333333,36.3136516666667
"15617","AW-1-O-1-M-D1","AW-1","O",1,"M","12° 41.7893' N  36° 18.8191' E","AW-1-O-1-M",12.6964883333333,36.3136516666667
"15873","AW-1-O-1-L-D1","AW-1","O",1,"L","12° 41.7893' N  36° 18.8191' E","AW-1-O-1-L",12.6964883333333,36.3136516666667
"16129","AW-1-O-2-T-D1","AW-1","O",2,"T","12° 41.7893' N  36° 18.8191' E","AW-1-O-2-T",12.6964883333333,36.3136516666667
"16385","AW-1-O-2-M-D1","AW-1","O",2,"M","12° 41.7893' N  36° 18.8191' E","AW-1-O-2-M",12.6964883333333,36.3136516666667
"16641","AW-1-O-2-L-D1","AW-1","O",2,"L","12° 41.7893' N  36° 18.8191' E","AW-1-O-2-L",12.6964883333333,36.3136516666667
"16897","AW-1-O-3-T-D1","AW-1","O",3,"T","12° 41.7813' N  36° 18.8127' E","AW-1-O-3-T",12.696355,36.313545
"17153","AW-1-O-3-M-D1","AW-1","O",3,"M","12° 41.7813' N  36° 18.8127' E","AW-1-O-3-M",12.696355,36.313545
"17409","AW-1-O-3-L-D1","AW-1","O",3,"L","12° 41.7813' N  36° 18.8127' E","AW-1-O-3-L",12.696355,36.313545
"17665","AW-1-O-4-T-D1","AW-1","O",4,"T","12° 41.7813' N  36° 18.8127' E","AW-1-O-4-T",12.696355,36.313545
"17921","AW-1-O-4-M-D1","AW-1","O",4,"M","12° 41.7813' N  36° 18.8127' E","AW-1-O-4-M",12.696355,36.313545
"18177","AW-1-O-4-L-D1","AW-1","O",4,"L","12° 41.7813' N  36° 18.8127' E","AW-1-O-4-L",12.696355,36.313545
"18433","LLT-1-T-03-T-D1","LLT-1","T",3,"T","12° 40.5069' N  36° 16.8477' E","LLT-1-T-03-T",12.675115,36.280795
"18689","LLT-1-T-03-M-D1","LLT-1","T",3,"M","12° 40.5069' N  36° 16.8477' E","LLT-1-T-03-M",12.675115,36.280795
"18945","LLT-1-T-03-L-D1","LLT-1","T",3,"L","12° 40.5069' N  36° 16.8477' E","LLT-1-T-03-L",12.675115,36.280795
"19201","LLT-1-T-06-T-D1","LLT-1","T",6,"T","12° 40.5039' N  36° 16.8507' E","LLT-1-T-06-T",12.675065,36.280845
"19457","LLT-1-T-06-M-D1","LLT-1","T",6,"M","12° 40.5043' N  36° 16.8505' E","LLT-1-T-06-M",12.6750716666667,36.2808416666667
"19713","LLT-1-T-06-L-D1","LLT-1","T",6,"L","12° 40.5043' N  36° 16.8505' E","LLT-1-T-06-L",12.6750716666667,36.2808416666667
"19969","LLT-1-T-09-T-D1","LLT-1","T",9,"T","12° 40.5049' N  36° 16.8535' E","LLT-1-T-09-T",12.6750816666667,36.2808916666667
"20225","LLT-1-T-09-M-D1","LLT-1","T",9,"M","12° 40.5057' N  36° 16.8564' E","LLT-1-T-09-M",12.675095,36.28094
"20481","LLT-1-T-09-L-D1","LLT-1","T",9,"L","12° 40.5057' N  36° 16.8564' E","LLT-1-T-09-L",12.675095,36.28094
"20737","LLT-1-T-12-T-D1","LLT-1","T",12,"T","12° 40.5088' N  36° 16.8494' E","LLT-1-T-12-T",12.6751466666667,36.2808233333333
"20993","LLT-1-T-12-M-D1","LLT-1","T",12,"M","12° 40.5088' N  36° 16.8494' E","LLT-1-T-12-M",12.6751466666667,36.2808233333333
"21249","LLT-1-T-12-L-D1","LLT-1","T",12,"L","12° 40.5088' N  36° 16.8494' E","LLT-1-T-12-L",12.6751466666667,36.2808233333333
"21505","LLT-1-T-15-T-D1","LLT-1","T",15,"T","12° 40.5111' N  36° 16.8433' E","LLT-1-T-15-T",12.675185,36.2807216666667
"21761","LLT-1-T-15-M-D1","LLT-1","T",15,"M","12° 40.5111' N  36° 16.8433' E","LLT-1-T-15-M",12.675185,36.2807216666667
"22017","LLT-1-T-15-L-D1","LLT-1","T",15,"L","12° 40.5111' N  36° 16.8433' E","LLT-1-T-15-L",12.675185,36.2807216666667
"22273","LLT-1-T-18-T-D1","LLT-1","T",18,"T","12° 40.5135' N  36° 16.8409' E","LLT-1-T-18-T",12.675225,36.2806816666667
"22529","LLT-1-T-18-M-D1","LLT-1","T",18,"M","12° 40.5135' N  36° 16.8409' E","LLT-1-T-18-M",12.675225,36.2806816666667
"22785","LLT-1-T-18-L-D1","LLT-1","T",18,"L","12° 40.5135' N  36° 16.8409' E","LLT-1-T-18-L",12.675225,36.2806816666667
"23041","LLT-1-T-21-T-D1","LLT-1","T",21,"T","12° 40.5187' N  36° 16.8342' E","LLT-1-T-21-T",12.6753116666667,36.28057
"23297","LLT-1-T-21-M-D1","LLT-1","T",21,"M","12° 40.5217' N  36° 16.8360' E","LLT-1-T-21-M",12.6753616666667,36.2806
"23553","LLT-1-T-21-L-D1","LLT-1","T",21,"L","12° 40.5217' N  36° 16.8360' E","LLT-1-T-21-L",12.6753616666667,36.2806
"23809","LLT-1-T-24-T-D1","LLT-1","T",24,"T","12° 40.5219' N  36° 16.8304' E","LLT-1-T-24-T",12.675365,36.2805066666667
"24065","LLT-1-T-24-M-D1","LLT-1","T",24,"M","12° 40.5219' N  36° 16.8304' E","LLT-1-T-24-M",12.675365,36.2805066666667
"24321","LLT-1-T-24-L-D1","LLT-1","T",24,"L","12° 40.5219' N  36° 16.8304' E","LLT-1-T-24-L",12.675365,36.2805066666667
"24577","LLT-1-T-27-T-D1","LLT-1","T",27,"T","12° 40.5239' N  36° 16.8271' E","LLT-1-T-27-T",12.6753983333333,36.2804516666667
"24833","LLT-1-T-27-M-D1","LLT-1","T",27,"M","12° 40.5239' N  36° 16.8271' E","LLT-1-T-27-M",12.6753983333333,36.2804516666667
"25089","LLT-1-T-27-L-D1","LLT-1","T",27,"L","12° 40.5239' N  36° 16.8271' E","LLT-1-T-27-L",12.6753983333333,36.2804516666667
"25345","LLT-1-T-30-T-D1","LLT-1","T",30,"T","12° 40.5273' N  36° 16.8322' E","LLT-1-T-30-T",12.675455,36.2805366666667
"25601","LLT-1-T-30-M-D1","LLT-1","T",30,"M","12° 40.5273' N  36° 16.8322' E","LLT-1-T-30-M",12.675455,36.2805366666667
"25857","LLT-1-T-30-L-D1","LLT-1","T",30,"L","12° 40.5273' N  36° 16.8322' E","LLT-1-T-30-L",12.675455,36.2805366666667
"26113","LLT-1-I-03-T-D1","LLT-1","I",3,"T","12° 40.4846' N  36° 16.8503' E","LLT-1-I-03-T",12.6747433333333,36.2808383333333
"26369","LLT-1-I-03-M-D1","LLT-1","I",3,"M","12° 40.4846' N  36° 16.8503' E","LLT-1-I-03-M",12.6747433333333,36.2808383333333
"26625","LLT-1-I-03-L-D1","LLT-1","I",3,"L","12° 40.4824' N  36° 16.8494' E","LLT-1-I-03-L",12.6747066666667,36.2808233333333
"26881","LLT-1-I-06-T-D1","LLT-1","I",6,"T","12° 40.4824' N  36° 16.8494' E","LLT-1-I-06-T",12.6747066666667,36.2808233333333
"27137","LLT-1-I-06-M-D1","LLT-1","I",6,"M","12° 40.4824' N  36° 16.8494' E","LLT-1-I-06-M",12.6747066666667,36.2808233333333
"27393","LLT-1-I-06-L-D1","LLT-1","I",6,"L","12° 40.4824' N  36° 16.8494' E","LLT-1-I-06-L",12.6747066666667,36.2808233333333
"27649","LLT-1-I-09-T-D1","LLT-1","I",9,"T","12° 40.4824' N  36° 16.8548' E","LLT-1-I-09-T",12.6747066666667,36.2809133333333
"27905","LLT-1-I-09-M-D1","LLT-1","I",9,"M","12° 40.4824' N  36° 16.8548' E","LLT-1-I-09-M",12.6747066666667,36.2809133333333
"28161","LLT-1-I-09-L-D1","LLT-1","I",9,"L","12° 40.4824' N  36° 16.8548' E","LLT-1-I-09-L",12.6747066666667,36.2809133333333
"28417","LLT-1-I-12-T-D1","LLT-1","I",12,"T","12° 40.4846' N  36° 16.8517' E","LLT-1-I-12-T",12.6747433333333,36.2808616666667
"28673","LLT-1-I-12-M-D1","LLT-1","I",12,"M","12° 40.4846' N  36° 16.8517' E","LLT-1-I-12-M",12.6747433333333,36.2808616666667
"28929","LLT-1-I-12-L-D1","LLT-1","I",12,"L","12° 40.4846' N  36° 16.8517' E","LLT-1-I-12-L",12.6747433333333,36.2808616666667
"29185","LLT-1-I-15-T-D1","LLT-1","I",15,"T","12° 40.4882' N  36° 16.8477' E","LLT-1-I-15-T",12.6748033333333,36.280795
"29441","LLT-1-I-15-M-D1","LLT-1","I",15,"M","12° 40.4882' N  36° 16.8477' E","LLT-1-I-15-M",12.6748033333333,36.280795
"29697","LLT-1-I-15-L-D1","LLT-1","I",15,"L","12° 40.4882' N  36° 16.8477' E","LLT-1-I-15-L",12.6748033333333,36.280795
"29953","LLT-1-I-18-T-D1","LLT-1","I",18,"T","12° 40.4900' N  36° 16.8447' E","LLT-1-I-18-T",12.6748333333333,36.280745
"30209","LLT-1-I-18-M-D1","LLT-1","I",18,"M","12° 40.4900' N  36° 16.8447' E","LLT-1-I-18-M",12.6748333333333,36.280745
"30465","LLT-1-I-18-L-D1","LLT-1","I",18,"L","12° 40.4900' N  36° 16.8447' E","LLT-1-I-18-L",12.6748333333333,36.280745
"30721","LLT-1-I-21-T-D1","LLT-1","I",21,"T","12° 40.4912' N  36° 16.8445' E","LLT-1-I-21-T",12.6748533333333,36.2807416666667
"30977","LLT-1-I-21-M-D1","LLT-1","I",21,"M","12° 40.4912' N  36° 16.8445' E","LLT-1-I-21-M",12.6748533333333,36.2807416666667
"31233","LLT-1-I-21-L-D1","LLT-1","I",21,"L","12° 40.4912' N  36° 16.8445' E","LLT-1-I-21-L",12.6748533333333,36.2807416666667
"31489","LLT-1-I-24-T-D1","LLT-1","I",24,"T","12° 40.4969' N  36° 16.8470' E","LLT-1-I-24-T",12.6749483333333,36.2807833333333
"31745","LLT-1-I-24-M-D1","LLT-1","I",24,"M","12° 40.4969' N  36° 16.8470' E","LLT-1-I-24-M",12.6749483333333,36.2807833333333
"32001","LLT-1-I-24-L-D1","LLT-1","I",24,"L","12° 40.4969' N  36° 16.8470' E","LLT-1-I-24-L",12.6749483333333,36.2807833333333
"32257","LLT-1-I-27-T-D1","LLT-1","I",27,"T","12° 40.4961' N  36° 16.8538' E","LLT-1-I-27-T",12.674935,36.2808966666667
"32513","LLT-1-I-27-M-D1","LLT-1","I",27,"M","12° 40.4961' N  36° 16.8538' E","LLT-1-I-27-M",12.674935,36.2808966666667
"32769","LLT-1-I-27-L-D1","LLT-1","I",27,"L","12° 40.4961' N  36° 16.8538' E","LLT-1-I-27-L",12.674935,36.2808966666667
"33025","LLT-1-I-30-T-D1","LLT-1","I",30,"T","12° 40.4965' N  36° 16.8473' E","LLT-1-I-30-T",12.6749416666667,36.2807883333333
"33281","LLT-1-I-30-M-D1","LLT-1","I",30,"M","12° 40.4965' N  36° 16.8473' E","LLT-1-I-30-M",12.6749416666667,36.2807883333333
"33537","LLT-1-I-30-L-D1","LLT-1","I",30,"L","12° 40.4965' N  36° 16.8473' E","LLT-1-I-30-L",12.6749416666667,36.2807883333333
"33793","LLT-1-O-1-T-D1","LLT-1","O",1,"T","12° 40.4702' N  36° 16.8523' E","LLT-1-O-1-T",12.6745033333333,36.2808716666667
"34049","LLT-1-O-1-M-D1","LLT-1","O",1,"M","12° 40.4737' N  36° 16.8541' E","LLT-1-O-1-M",12.6745616666667,36.2809016666667
"34305","LLT-1-O-1-L-D1","LLT-1","O",1,"L","12° 40.4734' N  36° 16.8518' E","LLT-1-O-1-L",12.6745566666667,36.2808633333333
"34561","LLT-1-O-2-T-D1","LLT-1","O",2,"T","12° 40.4726' N  36° 16.8543' E","LLT-1-O-2-T",12.6745433333333,36.280905
"34817","LLT-1-O-2-M-D1","LLT-1","O",2,"M","12° 40.4726' N  36° 16.8543' E","LLT-1-O-2-M",12.6745433333333,36.280905
"35073","LLT-1-O-2-L-D1","LLT-1","O",2,"L","12° 40.4726' N  36° 16.8543' E","LLT-1-O-2-L",12.6745433333333,36.280905
"35329","LLT-1-O-3-T-D1","LLT-1","O",3,"T","12° 40.4760' N  36° 16.8615' E","LLT-1-O-3-T",12.6746,36.281025
"35585","LLT-1-O-3-M-D1","LLT-1","O",3,"M","12° 40.4760' N  36° 16.8615' E","LLT-1-O-3-M",12.6746,36.281025
"35841","LLT-1-O-3-L-D1","LLT-1","O",3,"L","12° 40.4760' N  36° 16.8615' E","LLT-1-O-3-L",12.6746,36.281025
"36097","LLT-1-O-4-T-D1","LLT-1","O",4,"T","12° 40.4927' N  36° 16.8548' E","LLT-1-O-4-T",12.6748783333333,36.2809133333333
"36353","LLT-1-O-4-M-D1","LLT-1","O",4,"M","12° 40.4927' N  36° 16.8548' E","LLT-1-O-4-M",12.6748783333333,36.2809133333333
