"","ID","Location","Tapping","Tree_num","C_pos.","Coordinates","Tree_ID","lat","lon"
"73729","AW-1-T-03-T-D2","AW-1","T",3,"T","12° 41.7815' N  36° 18.8300' E","AW-1-T-03-T",12.6963583333333,36.3138333333333
"73985","AW-1-T-03-M-D2","AW-1","T",3,"M","12° 41.7815' N  36° 18.8300' E","AW-1-T-03-M",12.6963583333333,36.3138333333333
"74241","AW-1-T-03-L-D2","AW-1","T",3,"L","12° 41.7815' N  36° 18.8300' E","AW-1-T-03-L",12.6963583333333,36.3138333333333
"74497","AW-1-T-06-T-D2","AW-1","T",6,"T","12° 41.7815' N  36° 18.8263' E","AW-1-T-06-T",12.6963583333333,36.3137716666667
"74753","AW-1-T-06-M-D2","AW-1","T",6,"M","12° 41.7815' N  36° 18.8263' E","AW-1-T-06-M",12.6963583333333,36.3137716666667
"75009","AW-1-T-06-L-D2","AW-1","T",6,"L","12° 41.7815' N  36° 18.8263' E","AW-1-T-06-L",12.6963583333333,36.3137716666667
"75265","AW-1-T-09-T-D2","AW-1","T",9,"T","12° 41.7851' N  36° 18.8264' E","AW-1-T-09-T",12.6964183333333,36.3137733333333
"75521","AW-1-T-09-M-D2","AW-1","T",9,"M","12° 41.7851' N  36° 18.8264' E","AW-1-T-09-M",12.6964183333333,36.3137733333333
"75777","AW-1-T-09-L-D2","AW-1","T",9,"L","12° 41.7851' N  36° 18.8264' E","AW-1-T-09-L",12.6964183333333,36.3137733333333
"76033","AW-1-T-12-T-D2","AW-1","T",12,"T","12° 41.7888' N  36° 18.8367' E","AW-1-T-12-T",12.69648,36.313945
"76289","AW-1-T-12-M-D2","AW-1","T",12,"M","12° 41.7888' N  36° 18.8367' E","AW-1-T-12-M",12.69648,36.313945
"76545","AW-1-T-12-L-D2","AW-1","T",12,"L","12° 41.7888' N  36° 18.8367' E","AW-1-T-12-L",12.69648,36.313945
"76801","AW-1-T-15-T-D2","AW-1","T",15,"T","12° 41.7934' N  36° 18.8438' E","AW-1-T-15-T",12.6965566666667,36.3140633333333
"77057","AW-1-T-15-M-D2","AW-1","T",15,"M","12° 41.7934' N  36° 18.8438' E","AW-1-T-15-M",12.6965566666667,36.3140633333333
"77313","AW-1-T-15-L-D2","AW-1","T",15,"L","12° 41.7934' N  36° 18.8438' E","AW-1-T-15-L",12.6965566666667,36.3140633333333
"77569","AW-1-T-18-T-D2","AW-1","T",18,"T","12° 41.7872' N  36° 18.8430' E","AW-1-T-18-T",12.6964533333333,36.31405
"77825","AW-1-T-18-M-D2","AW-1","T",18,"M","12° 41.7872' N  36° 18.8430' E","AW-1-T-18-M",12.6964533333333,36.31405
"78081","AW-1-T-18-L-D2","AW-1","T",18,"L","12° 41.7872' N  36° 18.8430' E","AW-1-T-18-L",12.6964533333333,36.31405
"78337","AW-1-T-21-T-D2","AW-1","T",21,"T","12° 41.7833' N  36° 18.8467' E","AW-1-T-21-T",12.6963883333333,36.3141116666667
"78593","AW-1-T-21-M-D2","AW-1","T",21,"M","12° 41.7833' N  36° 18.8467' E","AW-1-T-21-M",12.6963883333333,36.3141116666667
"78849","AW-1-T-21-L-D2","AW-1","T",21,"L","12° 41.7833' N  36° 18.8467' E","AW-1-T-21-L",12.6963883333333,36.3141116666667
"79105","AW-1-T-24-T-D2","AW-1","T",24,"T","12° 41.7850' N  36° 18.8529' E","AW-1-T-24-T",12.6964166666667,36.314215
"79361","AW-1-T-24-M-D2","AW-1","T",24,"M","12° 41.7850' N  36° 18.8529' E","AW-1-T-24-M",12.6964166666667,36.314215
"79617","AW-1-T-24-L-D2","AW-1","T",24,"L","12° 41.7850' N  36° 18.8529' E","AW-1-T-24-L",12.6964166666667,36.314215
"79873","AW-1-T-27-T-D2","AW-1","T",27,"T","12° 41.7845' N  36° 18.8510' E","AW-1-T-27-T",12.6964083333333,36.3141833333333
"80129","AW-1-T-27-M-D2","AW-1","T",27,"M","12° 41.7845' N  36° 18.8510' E","AW-1-T-27-M",12.6964083333333,36.3141833333333
"80385","AW-1-T-27-L-D2","AW-1","T",27,"L","12° 41.7845' N  36° 18.8510' E","AW-1-T-27-L",12.6964083333333,36.3141833333333
"80641","AW-1-T-30-T-D2","AW-1","T",30,"T","12° 41.7928' N  36° 18.8479' E","AW-1-T-30-T",12.6965466666667,36.3141316666667
"80897","AW-1-T-30-M-D2","AW-1","T",30,"M","12° 41.7928' N  36° 18.8479' E","AW-1-T-30-M",12.6965466666667,36.3141316666667
"81153","AW-1-T-30-L-D2","AW-1","T",30,"L","12° 41.7928' N  36° 18.8479' E","AW-1-T-30-L",12.6965466666667,36.3141316666667
"81409","AW-1-I-03-T-D2","AW-1","I",3,"T","12° 41.7615' N  36° 18.8294' E","AW-1-I-03-T",12.696025,36.3138233333333
"81665","AW-1-I-03-M-D2","AW-1","I",3,"M","12° 41.7615' N  36° 18.8294' E","AW-1-I-03-M",12.696025,36.3138233333333
"81921","AW-1-I-03-L-D2","AW-1","I",3,"L","12° 41.7615' N  36° 18.8294' E","AW-1-I-03-L",12.696025,36.3138233333333
"82177","AW-1-I-06-T-D2","AW-1","I",6,"T","12° 41.7637' N  36° 18.8326' E","AW-1-I-06-T",12.6960616666667,36.3138766666667
"82433","AW-1-I-06-M-D2","AW-1","I",6,"M","12° 41.7637' N  36° 18.8326' E","AW-1-I-06-M",12.6960616666667,36.3138766666667
"82689","AW-1-I-06-L-D2","AW-1","I",6,"L","12° 41.7637' N  36° 18.8326' E","AW-1-I-06-L",12.6960616666667,36.3138766666667
"82945","AW-1-I-09-T-D2","AW-1","I",9,"T","12° 41.7668' N  36° 18.8336' E","AW-1-I-09-T",12.6961133333333,36.3138933333333
"83201","AW-1-I-09-M-D2","AW-1","I",9,"M","12° 41.7668' N  36° 18.8336' E","AW-1-I-09-M",12.6961133333333,36.3138933333333
"83457","AW-1-I-09-L-D2","AW-1","I",9,"L","12° 41.7668' N  36° 18.8336' E","AW-1-I-09-L",12.6961133333333,36.3138933333333
"83713","AW-1-I-12-T-D2","AW-1","I",12,"T","12° 41.7702' N  36° 18.8335' E","AW-1-I-12-T",12.69617,36.3138916666667
"83969","AW-1-I-12-M-D2","AW-1","I",12,"M","12° 41.7702' N  36° 18.8335' E","AW-1-I-12-M",12.69617,36.3138916666667
"84225","AW-1-I-12-L-D2","AW-1","I",12,"L","12° 41.7702' N  36° 18.8335' E","AW-1-I-12-L",12.69617,36.3138916666667
"84481","AW-1-I-15-T-D2","AW-1","I",15,"T","12° 41.7734' N  36° 18.8412' E","AW-1-I-15-T",12.6962233333333,36.31402
"84737","AW-1-I-15-M-D2","AW-1","I",15,"M","12° 41.7734' N  36° 18.8412' E","AW-1-I-15-M",12.6962233333333,36.31402
"84993","AW-1-I-15-L-D2","AW-1","I",15,"L","12° 41.7734' N  36° 18.8412' E","AW-1-I-15-L",12.6962233333333,36.31402
"85249","AW-1-I-18-T-D2","AW-1","I",18,"T","12° 41.7756' N  36° 18.8415' E","AW-1-I-18-T",12.69626,36.314025
"85505","AW-1-I-18-M-D2","AW-1","I",18,"M","12° 41.7756' N  36° 18.8415' E","AW-1-I-18-M",12.69626,36.314025
"85761","AW-1-I-18-L-D2","AW-1","I",18,"L","12° 41.7756' N  36° 18.8415' E","AW-1-I-18-L",12.69626,36.314025
"86017","AW-1-I-21-T-D2","AW-1","I",21,"T","12° 41.7763' N  36° 18.8346' E","AW-1-I-21-T",12.6962716666667,36.31391
"86273","AW-1-I-21-M-D2","AW-1","I",21,"M","12° 41.7763' N  36° 18.8346' E","AW-1-I-21-M",12.6962716666667,36.31391
"86529","AW-1-I-21-L-D2","AW-1","I",21,"L","12° 41.7763' N  36° 18.8346' E","AW-1-I-21-L",12.6962716666667,36.31391
"86785","AW-1-I-24-T-D2","AW-1","I",24,"T","12° 41.7781' N  36° 18.8325' E","AW-1-I-24-T",12.6963016666667,36.313875
"87041","AW-1-I-24-M-D2","AW-1","I",24,"M","12° 41.7781' N  36° 18.8325' E","AW-1-I-24-M",12.6963016666667,36.313875
"87297","AW-1-I-24-L-D2","AW-1","I",24,"L","12° 41.7781' N  36° 18.8325' E","AW-1-I-24-L",12.6963016666667,36.313875
"87553","AW-1-I-27-T-D2","AW-1","I",27,"T","12° 41.7806' N  36° 18.8344' E","AW-1-I-27-T",12.6963433333333,36.3139066666667
"87809","AW-1-I-27-M-D2","AW-1","I",27,"M","12° 41.7806' N  36° 18.8344' E","AW-1-I-27-M",12.6963433333333,36.3139066666667
"88065","AW-1-I-27-L-D2","AW-1","I",27,"L","12° 41.7806' N  36° 18.8344' E","AW-1-I-27-L",12.6963433333333,36.3139066666667
"88321","AW-1-I-30-T-D2","AW-1","I",30,"T","12° 41.7806' N  36° 18.8344' E","AW-1-I-30-T",12.6963433333333,36.3139066666667
"88577","AW-1-I-30-M-D2","AW-1","I",30,"M","12° 41.7806' N  36° 18.8344' E","AW-1-I-30-M",12.6963433333333,36.3139066666667
"88833","AW-1-I-30-L-D2","AW-1","I",30,"L","12° 41.7806' N  36° 18.8344' E","AW-1-I-30-L",12.6963433333333,36.3139066666667
"89089","AW-1-O-1-T-D2","AW-1","O",1,"T","12° 41.7906' N  36° 18.8176' E","AW-1-O-1-T",12.69651,36.3136266666667
"89345","AW-1-O-1-M-D2","AW-1","O",1,"M","12° 41.7906' N  36° 18.8176' E","AW-1-O-1-M",12.69651,36.3136266666667
"89601","AW-1-O-1-L-D2","AW-1","O",1,"L","12° 41.7906' N  36° 18.8176' E","AW-1-O-1-L",12.69651,36.3136266666667
"89857","AW-1-O-2-T-D2","AW-1","O",2,"T","12° 41.7906' N  36° 18.8176' E","AW-1-O-2-T",12.69651,36.3136266666667
"90113","AW-1-O-2-M-D2","AW-1","O",2,"M","12° 41.7906' N  36° 18.8176' E","AW-1-O-2-M",12.69651,36.3136266666667
"90369","AW-1-O-2-L-D2","AW-1","O",2,"L","12° 41.7906' N  36° 18.8176' E","AW-1-O-2-L",12.69651,36.3136266666667
"90625","AW-1-O-3-T-D2","AW-1","O",3,"T","12° 41.7810' N  36° 18.8122' E","AW-1-O-3-T",12.69635,36.3135366666667
"90881","AW-1-O-3-M-D2","AW-1","O",3,"M","12° 41.7810' N  36° 18.8122' E","AW-1-O-3-M",12.69635,36.3135366666667
"91137","AW-1-O-3-L-D2","AW-1","O",3,"L","12° 41.7810' N  36° 18.8122' E","AW-1-O-3-L",12.69635,36.3135366666667
"91393","AW-1-O-4-T-D2","AW-1","O",4,"T","12° 41.7790' N  36° 18.8127' E","AW-1-O-4-T",12.6963166666667,36.313545
"91649","AW-1-O-4-M-D2","AW-1","O",4,"M","12° 41.7790' N  36° 18.8127' E","AW-1-O-4-M",12.6963166666667,36.313545
"91905","AW-1-O-4-L-D2","AW-1","O",4,"L","12° 41.7790' N  36° 18.8127' E","AW-1-O-4-L",12.6963166666667,36.313545
"92161","LLT-1-T-03-T-D2","LLT-1","T",3,"T","12° 40.5058' N  36° 16.8475' E","LLT-1-T-03-T",12.6750966666667,36.2807916666667
"92417","LLT-1-T-03-M-D2","LLT-1","T",3,"M","12° 40.5058' N  36° 16.8475' E","LLT-1-T-03-M",12.6750966666667,36.2807916666667
"92673","LLT-1-T-03-L-D2","LLT-1","T",3,"L","12° 40.5058' N  36° 16.8475' E","LLT-1-T-03-L",12.6750966666667,36.2807916666667
"92929","LLT-1-T-06-T-D2","LLT-1","T",6,"T","12° 40.5035' N  36° 16.8505' E","LLT-1-T-06-T",12.6750583333333,36.2808416666667
"93185","LLT-1-T-06-M-D2","LLT-1","T",6,"M","12° 40.5035' N  36° 16.8505' E","LLT-1-T-06-M",12.6750583333333,36.2808416666667
"93441","LLT-1-T-06-L-D2","LLT-1","T",6,"L","12° 40.5035' N  36° 16.8505' E","LLT-1-T-06-L",12.6750583333333,36.2808416666667
"93697","LLT-1-T-09-T-D2","LLT-1","T",9,"T","12° 40.5046' N  36° 16.8567' E","LLT-1-T-09-T",12.6750766666667,36.280945
"93953","LLT-1-T-09-M-D2","LLT-1","T",9,"M","12° 40.5046' N  36° 16.8567' E","LLT-1-T-09-M",12.6750766666667,36.280945
"94209","LLT-1-T-09-L-D2","LLT-1","T",9,"L","12° 40.5046' N  36° 16.8567' E","LLT-1-T-09-L",12.6750766666667,36.280945
"94465","LLT-1-T-12-T-D2","LLT-1","T",12,"T","12° 40.5087' N  36° 16.8496' E","LLT-1-T-12-T",12.675145,36.2808266666667
"94721","LLT-1-T-12-M-D2","LLT-1","T",12,"M","12° 40.5087' N  36° 16.8496' E","LLT-1-T-12-M",12.675145,36.2808266666667
"94977","LLT-1-T-12-L-D2","LLT-1","T",12,"L","12° 40.5087' N  36° 16.8496' E","LLT-1-T-12-L",12.675145,36.2808266666667
"95233","LLT-1-T-15-T-D2","LLT-1","T",15,"T","12° 40.5113' N  36° 16.8429' E","LLT-1-T-15-T",12.6751883333333,36.280715
"95489","LLT-1-T-15-M-D2","LLT-1","T",15,"M","12° 40.5113' N  36° 16.8429' E","LLT-1-T-15-M",12.6751883333333,36.280715
"95745","LLT-1-T-15-L-D2","LLT-1","T",15,"L","12° 40.5113' N  36° 16.8429' E","LLT-1-T-15-L",12.6751883333333,36.280715
"96001","LLT-1-T-18-T-D2","LLT-1","T",18,"T","12° 40.5132' N  36° 16.8399' E","LLT-1-T-18-T",12.67522,36.280665
"96257","LLT-1-T-18-M-D2","LLT-1","T",18,"M","12° 40.5132' N  36° 16.8399' E","LLT-1-T-18-M",12.67522,36.280665
"96513","LLT-1-T-18-L-D2","LLT-1","T",18,"L","12° 40.5132' N  36° 16.8399' E","LLT-1-T-18-L",12.67522,36.280665
"96769","LLT-1-T-21-T-D2","LLT-1","T",21,"T","12° 40.5230' N  36° 16.8360' E","LLT-1-T-21-T",12.6753833333333,36.2806
"97025","LLT-1-T-21-M-D2","LLT-1","T",21,"M","12° 40.5230' N  36° 16.8360' E","LLT-1-T-21-M",12.6753833333333,36.2806
"97281","LLT-1-T-21-L-D2","LLT-1","T",21,"L","12° 40.5230' N  36° 16.8360' E","LLT-1-T-21-L",12.6753833333333,36.2806
"97537","LLT-1-T-24-T-D2","LLT-1","T",24,"T","12° 40.5223' N  36° 16.8299' E","LLT-1-T-24-T",12.6753716666667,36.2804983333333
"97793","LLT-1-T-24-M-D2","LLT-1","T",24,"M","12° 40.5223' N  36° 16.8299' E","LLT-1-T-24-M",12.6753716666667,36.2804983333333
"98049","LLT-1-T-24-L-D2","LLT-1","T",24,"L","12° 40.5223' N  36° 16.8299' E","LLT-1-T-24-L",12.6753716666667,36.2804983333333
"98305","LLT-1-T-27-T-D2","LLT-1","T",27,"T","12° 40.5244' N  36° 16.8266' E","LLT-1-T-27-T",12.6754066666667,36.2804433333333
"98561","LLT-1-T-27-M-D2","LLT-1","T",27,"M","12° 40.5244' N  36° 16.8266' E","LLT-1-T-27-M",12.6754066666667,36.2804433333333
"98817","LLT-1-T-27-L-D2","LLT-1","T",27,"L","12° 40.5244' N  36° 16.8266' E","LLT-1-T-27-L",12.6754066666667,36.2804433333333
"99073","LLT-1-T-30-T-D2","LLT-1","T",30,"T","12° 40.5280' N  36° 16.8304' E","LLT-1-T-30-T",12.6754666666667,36.2805066666667
"99329","LLT-1-T-30-M-D2","LLT-1","T",30,"M","12° 40.5280' N  36° 16.8304' E","LLT-1-T-30-M",12.6754666666667,36.2805066666667
"99585","LLT-1-T-30-L-D2","LLT-1","T",30,"L","12° 40.5280' N  36° 16.8304' E","LLT-1-T-30-L",12.6754666666667,36.2805066666667
"99841","LLT-1-I-03-T-D2","LLT-1","I",3,"T","12° 40.4806' N  36° 16.8487' E","LLT-1-I-03-T",12.6746766666667,36.2808116666667
"100097","LLT-1-I-03-M-D2","LLT-1","I",3,"M","12° 40.4806' N  36° 16.8487' E","LLT-1-I-03-M",12.6746766666667,36.2808116666667
"100353","LLT-1-I-03-L-D2","LLT-1","I",3,"L","12° 40.4806' N  36° 16.8487' E","LLT-1-I-03-L",12.6746766666667,36.2808116666667
"100609","LLT-1-I-06-T-D2","LLT-1","I",6,"T","12° 40.4806' N  36° 16.8487' E","LLT-1-I-06-T",12.6746766666667,36.2808116666667
"100865","LLT-1-I-06-M-D2","LLT-1","I",6,"M","12° 40.4806' N  36° 16.8487' E","LLT-1-I-06-M",12.6746766666667,36.2808116666667
"101121","LLT-1-I-06-L-D2","LLT-1","I",6,"L","12° 40.4806' N  36° 16.8487' E","LLT-1-I-06-L",12.6746766666667,36.2808116666667
"101377","LLT-1-I-09-T-D2","LLT-1","I",9,"T","12° 40.4818' N  36° 16.8549' E","LLT-1-I-09-T",12.6746966666667,36.280915
"101633","LLT-1-I-09-M-D2","LLT-1","I",9,"M","12° 40.4818' N  36° 16.8549' E","LLT-1-I-09-M",12.6746966666667,36.280915
"101889","LLT-1-I-09-L-D2","LLT-1","I",9,"L","12° 40.4818' N  36° 16.8549' E","LLT-1-I-09-L",12.6746966666667,36.280915
"102145","LLT-1-I-12-T-D2","LLT-1","I",12,"T","12° 40.4842' N  36° 16.8518' E","LLT-1-I-12-T",12.6747366666667,36.2808633333333
"102401","LLT-1-I-12-M-D2","LLT-1","I",12,"M","12° 40.4842' N  36° 16.8518' E","LLT-1-I-12-M",12.6747366666667,36.2808633333333
"102657","LLT-1-I-12-L-D2","LLT-1","I",12,"L","12° 40.4842' N  36° 16.8518' E","LLT-1-I-12-L",12.6747366666667,36.2808633333333
"102913","LLT-1-I-15-T-D2","LLT-1","I",15,"T","12° 40.4878' N  36° 16.8472' E","LLT-1-I-15-T",12.6747966666667,36.2807866666667
"103169","LLT-1-I-15-M-D2","LLT-1","I",15,"M","12° 40.4878' N  36° 16.8472' E","LLT-1-I-15-M",12.6747966666667,36.2807866666667
"103425","LLT-1-I-15-L-D2","LLT-1","I",15,"L","12° 40.4878' N  36° 16.8472' E","LLT-1-I-15-L",12.6747966666667,36.2807866666667
"103681","LLT-1-I-18-T-D2","LLT-1","I",18,"T","12° 40.4898' N  36° 16.8442' E","LLT-1-I-18-T",12.67483,36.2807366666667
"103937","LLT-1-I-18-M-D2","LLT-1","I",18,"M","12° 40.4898' N  36° 16.8442' E","LLT-1-I-18-M",12.67483,36.2807366666667
"104193","LLT-1-I-18-L-D2","LLT-1","I",18,"L","12° 40.4898' N  36° 16.8442' E","LLT-1-I-18-L",12.67483,36.2807366666667
"104449","LLT-1-I-21-T-D2","LLT-1","I",21,"T","12° 40.4898' N  36° 16.8442' E","LLT-1-I-21-T",12.67483,36.2807366666667
"104705","LLT-1-I-21-M-D2","LLT-1","I",21,"M","12° 40.4898' N  36° 16.8442' E","LLT-1-I-21-M",12.67483,36.2807366666667
"104961","LLT-1-I-21-L-D2","LLT-1","I",21,"L","12° 40.4898' N  36° 16.8442' E","LLT-1-I-21-L",12.67483,36.2807366666667
"105217","LLT-1-I-24-T-D2","LLT-1","I",24,"T","12° 40.4993' N  36° 16.8464' E","LLT-1-I-24-T",12.6749883333333,36.2807733333333
"105473","LLT-1-I-24-M-D2","LLT-1","I",24,"M","12° 40.4993' N  36° 16.8464' E","LLT-1-I-24-M",12.6749883333333,36.2807733333333
"105729","LLT-1-I-24-L-D2","LLT-1","I",24,"L","12° 40.4993' N  36° 16.8464' E","LLT-1-I-24-L",12.6749883333333,36.2807733333333
"105985","LLT-1-I-27-T-D2","LLT-1","I",27,"T","12° 40.4971' N  36° 16.8508' E","LLT-1-I-27-T",12.6749516666667,36.2808466666667
"106241","LLT-1-I-27-M-D2","LLT-1","I",27,"M","12° 40.4971' N  36° 16.8508' E","LLT-1-I-27-M",12.6749516666667,36.2808466666667
"106497","LLT-1-I-27-L-D2","LLT-1","I",27,"L","12° 40.4971' N  36° 16.8508' E","LLT-1-I-27-L",12.6749516666667,36.2808466666667
"106753","LLT-1-I-30-T-D2","LLT-1","I",30,"T","12° 40.4976' N  36° 16.8471' E","LLT-1-I-30-T",12.67496,36.280785
"107009","LLT-1-I-30-M-D2","LLT-1","I",30,"M","12° 40.4976' N  36° 16.8471' E","LLT-1-I-30-M",12.67496,36.280785
"107265","LLT-1-I-30-L-D2","LLT-1","I",30,"L","12° 40.4976' N  36° 16.8471' E","LLT-1-I-30-L",12.67496,36.280785
"107521","LLT-1-O-1-T-D2","LLT-1","O",1,"T","12° 40.4729' N  36° 16.8532' E","LLT-1-O-1-T",12.6745483333333,36.2808866666667
"107777","LLT-1-O-1-M-D2","LLT-1","O",1,"M","12° 40.4729' N  36° 16.8532' E","LLT-1-O-1-M",12.6745483333333,36.2808866666667
"108033","LLT-1-O-1-L-D2","LLT-1","O",1,"L","12° 40.4729' N  36° 16.8532' E","LLT-1-O-1-L",12.6745483333333,36.2808866666667
"108289","LLT-1-O-2-T-D2","LLT-1","O",2,"T","12° 40.4738' N  36° 16.8552' E","LLT-1-O-2-T",12.6745633333333,36.28092
"108545","LLT-1-O-2-M-D2","LLT-1","O",2,"M","12° 40.4738' N  36° 16.8552' E","LLT-1-O-2-M",12.6745633333333,36.28092
"108801","LLT-1-O-2-L-D2","LLT-1","O",2,"L","12° 40.4738' N  36° 16.8552' E","LLT-1-O-2-L",12.6745633333333,36.28092
"109057","LLT-1-O-3-T-D2","LLT-1","O",3,"T","12° 40.4770' N  36° 16.8615' E","LLT-1-O-3-T",12.6746166666667,36.281025
"109313","LLT-1-O-3-M-D2","LLT-1","O",3,"M","12° 40.4770' N  36° 16.8615' E","LLT-1-O-3-M",12.6746166666667,36.281025
"109569","LLT-1-O-3-L-D2","LLT-1","O",3,"L","12° 40.4770' N  36° 16.8615' E","LLT-1-O-3-L",12.6746166666667,36.281025
"109825","LLT-1-O-4-T-D2","LLT-1","O",4,"T","12° 40.4929' N  36° 16.8541' E","LLT-1-O-4-T",12.6748816666667,36.2809016666667
"110081","LLT-1-O-4-M-D2","LLT-1","O",4,"M","12° 40.4929' N  36° 16.8541' E","LLT-1-O-4-M",12.6748816666667,36.2809016666667
