"","ID","Location","Tapping","Tree_num","C_pos.","Coordinates","Tree_ID","lat","lon"
"110337","LLT-1-O-4-L-D2","LLT-1","O",4,"L","12° 40.4929' N  36° 16.8541' E","LLT-1-O-4-L",12.6748816666667,36.2809016666667
"110593","LLT-2-T-03-T-D2","LLT-2","T",3,"T","12° 40.4598' N  36° 16.6928' E","LLT-2-T-03-T",12.67433,36.2782133333333
"110849","LLT-2-T-03-M-D2","LLT-2","T",3,"M","12° 40.4598' N  36° 16.6928' E","LLT-2-T-03-M",12.67433,36.2782133333333
"111105","LLT-2-T-03-L-D2","LLT-2","T",3,"L","12° 40.4598' N  36° 16.6928' E","LLT-2-T-03-L",12.67433,36.2782133333333
"111361","LLT-2-T-06-T-D2","LLT-2","T",6,"T","12° 40.4650' N  36° 16.6864' E","LLT-2-T-06-T",12.6744166666667,36.2781066666667
"111617","LLT-2-T-06-M-D2","LLT-2","T",6,"M","12° 40.4650' N  36° 16.6864' E","LLT-2-T-06-M",12.6744166666667,36.2781066666667
"111873","LLT-2-T-06-L-D2","LLT-2","T",6,"L","12° 40.4650' N  36° 16.6864' E","LLT-2-T-06-L",12.6744166666667,36.2781066666667
"112129","LLT-2-T-09-T-D2","LLT-2","T",9,"T","12° 40.4650' N  36° 16.6864' E","LLT-2-T-09-T",12.6744166666667,36.2781066666667
"112385","LLT-2-T-09-M-D2","LLT-2","T",9,"M","12° 40.4650' N  36° 16.6864' E","LLT-2-T-09-M",12.6744166666667,36.2781066666667
"112641","LLT-2-T-09-L-D2","LLT-2","T",9,"L","12° 40.4650' N  36° 16.6864' E","LLT-2-T-09-L",12.6744166666667,36.2781066666667
"112897","LLT-2-T-12-T-D2","LLT-2","T",12,"T","12° 40.4679' N  36° 16.6824' E","LLT-2-T-12-T",12.674465,36.27804
"113153","LLT-2-T-12-M-D2","LLT-2","T",12,"M","12° 40.4679' N  36° 16.6824' E","LLT-2-T-12-M",12.674465,36.27804
"113409","LLT-2-T-12-L-D2","LLT-2","T",12,"L","12° 40.4679' N  36° 16.6824' E","LLT-2-T-12-L",12.674465,36.27804
"113665","LLT-2-T-15-T-D2","LLT-2","T",15,"T","12° 40.4743' N  36° 16.6790' E","LLT-2-T-15-T",12.6745716666667,36.2779833333333
"113921","LLT-2-T-15-M-D2","LLT-2","T",15,"M","12° 40.4743' N  36° 16.6790' E","LLT-2-T-15-M",12.6745716666667,36.2779833333333
"114177","LLT-2-T-15-L-D2","LLT-2","T",15,"L","12° 40.4743' N  36° 16.6790' E","LLT-2-T-15-L",12.6745716666667,36.2779833333333
"114433","LLT-2-T-18-T-D2","LLT-2","T",18,"T","12° 40.4944' N  36° 16.6886' E","LLT-2-T-18-T",12.6749066666667,36.2781433333333
"114689","LLT-2-T-18-M-D2","LLT-2","T",18,"M","12° 40.4944' N  36° 16.6886' E","LLT-2-T-18-M",12.6749066666667,36.2781433333333
"114945","LLT-2-T-18-L-D2","LLT-2","T",18,"L","12° 40.4944' N  36° 16.6886' E","LLT-2-T-18-L",12.6749066666667,36.2781433333333
"115201","LLT-2-T-21-T-D2","LLT-2","T",21,"T","12° 40.4944' N  36° 16.6886' E","LLT-2-T-21-T",12.6749066666667,36.2781433333333
"115457","LLT-2-T-21-M-D2","LLT-2","T",21,"M","12° 40.4944' N  36° 16.6886' E","LLT-2-T-21-M",12.6749066666667,36.2781433333333
"115713","LLT-2-T-21-L-D2","LLT-2","T",21,"L","12° 40.4944' N  36° 16.6886' E","LLT-2-T-21-L",12.6749066666667,36.2781433333333
"115969","LLT-2-T-24-T-D2","LLT-2","T",24,"T","12° 40.5008' N  36° 16.6863' E","LLT-2-T-24-T",12.6750133333333,36.278105
"116225","LLT-2-T-24-M-D2","LLT-2","T",24,"M","12° 40.5008' N  36° 16.6863' E","LLT-2-T-24-M",12.6750133333333,36.278105
"116481","LLT-2-T-24-L-D2","LLT-2","T",24,"L","12° 40.5008' N  36° 16.6863' E","LLT-2-T-24-L",12.6750133333333,36.278105
"116737","LLT-2-T-27-T-D2","LLT-2","T",27,"T","12° 40.4999' N  36° 16.6830' E","LLT-2-T-27-T",12.6749983333333,36.27805
"116993","LLT-2-T-27-M-D2","LLT-2","T",27,"M","12° 40.4999' N  36° 16.6830' E","LLT-2-T-27-M",12.6749983333333,36.27805
"117249","LLT-2-T-27-L-D2","LLT-2","T",27,"L","12° 40.4997' N  36° 16.6803' E","LLT-2-T-27-L",12.674995,36.278005
"117505","LLT-2-T-30-T-D2","LLT-2","T",30,"T","12° 40.4997' N  36° 16.6803' E","LLT-2-T-30-T",12.674995,36.278005
"117761","LLT-2-T-30-M-D2","LLT-2","T",30,"M","12° 40.4993' N  36° 16.6774' E","LLT-2-T-30-M",12.6749883333333,36.2779566666667
"118017","LLT-2-T-30-L-D2","LLT-2","T",30,"L","12° 40.4993' N  36° 16.6774' E","LLT-2-T-30-L",12.6749883333333,36.2779566666667
"118273","LLT-2-I-03-T-D2","LLT-2","I",3,"T","12° 40.4519' N  36° 16.7245' E","LLT-2-I-03-T",12.6741983333333,36.2787416666667
"118529","LLT-2-I-03-M-D2","LLT-2","I",3,"M","12° 40.4519' N  36° 16.7245' E","LLT-2-I-03-M",12.6741983333333,36.2787416666667
"118785","LLT-2-I-03-L-D2","LLT-2","I",3,"L","12° 40.4519' N  36° 16.7245' E","LLT-2-I-03-L",12.6741983333333,36.2787416666667
"119041","LLT-2-I-06-T-D2","LLT-2","I",6,"T","12° 40.4595' N  36° 16.7226' E","LLT-2-I-06-T",12.674325,36.27871
"119297","LLT-2-I-06-M-D2","LLT-2","I",6,"M","12° 40.4595' N  36° 16.7226' E","LLT-2-I-06-M",12.674325,36.27871
"119553","LLT-2-I-06-L-D2","LLT-2","I",6,"L","12° 40.4595' N  36° 16.7226' E","LLT-2-I-06-L",12.674325,36.27871
"119809","LLT-2-I-09-T-D2","LLT-2","I",9,"T","12° 40.4616' N  36° 16.7215' E","LLT-2-I-09-T",12.67436,36.2786916666667
"120065","LLT-2-I-09-M-D2","LLT-2","I",9,"M","12° 40.4616' N  36° 16.7215' E","LLT-2-I-09-M",12.67436,36.2786916666667
"120321","LLT-2-I-09-L-D2","LLT-2","I",9,"L","12° 40.4616' N  36° 16.7215' E","LLT-2-I-09-L",12.67436,36.2786916666667
"120577","LLT-2-I-12-T-D2","LLT-2","I",12,"T","12° 40.4569' N  36° 16.7155' E","LLT-2-I-12-T",12.6742816666667,36.2785916666667
"120833","LLT-2-I-12-M-D2","LLT-2","I",12,"M","12° 40.4569' N  36° 16.7155' E","LLT-2-I-12-M",12.6742816666667,36.2785916666667
"121089","LLT-2-I-12-L-D2","LLT-2","I",12,"L","12° 40.4569' N  36° 16.7155' E","LLT-2-I-12-L",12.6742816666667,36.2785916666667
"121345","LLT-2-I-15-T-D2","LLT-2","I",15,"T","12° 40.4475' N  36° 16.7145' E","LLT-2-I-15-T",12.674125,36.278575
"121601","LLT-2-I-15-M-D2","LLT-2","I",15,"M","12° 40.4475' N  36° 16.7145' E","LLT-2-I-15-M",12.674125,36.278575
"121857","LLT-2-I-15-L-D2","LLT-2","I",15,"L","12° 40.4475' N  36° 16.7145' E","LLT-2-I-15-L",12.674125,36.278575
"122113","LLT-2-I-18-T-D2","LLT-2","I",18,"T","12° 40.4611' N  36° 16.7104' E","LLT-2-I-18-T",12.6743516666667,36.2785066666667
"122369","LLT-2-I-18-M-D2","LLT-2","I",18,"M","12° 40.4611' N  36° 16.7104' E","LLT-2-I-18-M",12.6743516666667,36.2785066666667
"122625","LLT-2-I-18-L-D2","LLT-2","I",18,"L","12° 40.4611' N  36° 16.7104' E","LLT-2-I-18-L",12.6743516666667,36.2785066666667
"122881","LLT-2-I-21-T-D2","LLT-2","I",21,"T","12° 40.4507' N  36° 16.7040' E","LLT-2-I-21-T",12.6741783333333,36.2784
"123137","LLT-2-I-21-M-D2","LLT-2","I",21,"M","12° 40.4507' N  36° 16.7040' E","LLT-2-I-21-M",12.6741783333333,36.2784
"123393","LLT-2-I-21-L-D2","LLT-2","I",21,"L","12° 40.4507' N  36° 16.7040' E","LLT-2-I-21-L",12.6741783333333,36.2784
"123649","LLT-2-I-24-T-D2","LLT-2","I",24,"T","12° 40.4526' N  36° 16.7020' E","LLT-2-I-24-T",12.67421,36.2783666666667
"123905","LLT-2-I-24-M-D2","LLT-2","I",24,"M","12° 40.4526' N  36° 16.7020' E","LLT-2-I-24-M",12.67421,36.2783666666667
"124161","LLT-2-I-24-L-D2","LLT-2","I",24,"L","12° 40.4526' N  36° 16.7020' E","LLT-2-I-24-L",12.67421,36.2783666666667
"124417","LLT-2-I-27-T-D2","LLT-2","I",27,"T","12° 40.4526' N  36° 16.7020' E","LLT-2-I-27-T",12.67421,36.2783666666667
"124673","LLT-2-I-27-M-D2","LLT-2","I",27,"M","12° 40.4526' N  36° 16.7020' E","LLT-2-I-27-M",12.67421,36.2783666666667
"124929","LLT-2-I-27-L-D2","LLT-2","I",27,"L","12° 40.4526' N  36° 16.7020' E","LLT-2-I-27-L",12.67421,36.2783666666667
"125185","LLT-2-I-30-T-D2","LLT-2","I",30,"T","12° 40.4487' N  36° 16.6964' E","LLT-2-I-30-T",12.674145,36.2782733333333
"125441","LLT-2-I-30-M-D2","LLT-2","I",30,"M","12° 40.4487' N  36° 16.6964' E","LLT-2-I-30-M",12.674145,36.2782733333333
"125697","LLT-2-I-30-L-D2","LLT-2","I",30,"L","12° 40.4487' N  36° 16.6964' E","LLT-2-I-30-L",12.674145,36.2782733333333
"125953","LLT-2-O-1-T-D2","LLT-2","O",1,"T","12° 40.4478' N  36° 16.6938' E","LLT-2-O-1-T",12.67413,36.27823
"126209","LLT-2-O-1-M-D2","LLT-2","O",1,"M","12° 40.4478' N  36° 16.6938' E","LLT-2-O-1-M",12.67413,36.27823
"126465","LLT-2-O-1-L-D2","LLT-2","O",1,"L","12° 40.4478' N  36° 16.6938' E","LLT-2-O-1-L",12.67413,36.27823
"126721","LLT-2-O-2-T-D2","LLT-2","O",2,"T","12° 40.4470' N  36° 16.6909' E","LLT-2-O-2-T",12.6741166666667,36.2781816666667
"126977","LLT-2-O-2-M-D2","LLT-2","O",2,"M","12° 40.4470' N  36° 16.6909' E","LLT-2-O-2-M",12.6741166666667,36.2781816666667
"127233","LLT-2-O-2-L-D2","LLT-2","O",2,"L","12° 40.4432' N  36° 16.6898' E","LLT-2-O-2-L",12.6740533333333,36.2781633333333
"127489","LLT-2-O-3-T-D2","LLT-2","O",3,"T","12° 40.4333' N  36° 16.7131' E","LLT-2-O-3-T",12.6738883333333,36.2785516666667
"127745","LLT-2-O-3-M-D2","LLT-2","O",3,"M","12° 40.4333' N  36° 16.7131' E","LLT-2-O-3-M",12.6738883333333,36.2785516666667
"128001","LLT-2-O-3-L-D2","LLT-2","O",3,"L","12° 40.4333' N  36° 16.7131' E","LLT-2-O-3-L",12.6738883333333,36.2785516666667
"128257","LLT-2-O-4-T-D2","LLT-2","O",4,"T","12° 40.4407' N  36° 16.7258' E","LLT-2-O-4-T",12.6740116666667,36.2787633333333
"128513","LLT-2-O-4-M-D2","LLT-2","O",4,"M","12° 40.4407' N  36° 16.7258' E","LLT-2-O-4-M",12.6740116666667,36.2787633333333
"128769","LLT-2-O-4-L-D2","LLT-2","O",4,"L","12° 40.4407' N  36° 16.7258' E","LLT-2-O-4-L",12.6740116666667,36.2787633333333
"129025","DG-1-T-03-T-D2","DG-1","T",3,"T","12° 44.5728' N  36° 8.0871' E","DG-1-T-03-T",12.74288,36.134785
"129281","DG-1-T-03-M-D2","DG-1","T",3,"M","12° 44.5728' N  36° 8.0871' E","DG-1-T-03-M",12.74288,36.134785
"129537","DG-1-T-03-L-D2","DG-1","T",3,"L","12° 44.5728' N  36° 8.0871' E","DG-1-T-03-L",12.74288,36.134785
"129793","DG-1-T-06-T-D2","DG-1","T",6,"T","12° 44.5513' N  36° 8.0664' E","DG-1-T-06-T",12.7425216666667,36.13444
"130049","DG-1-T-06-M-D2","DG-1","T",6,"M","12° 44.5513' N  36° 8.0664' E","DG-1-T-06-M",12.7425216666667,36.13444
"130305","DG-1-T-06-L-D2","DG-1","T",6,"L","12° 44.5513' N  36° 8.0664' E","DG-1-T-06-L",12.7425216666667,36.13444
"130561","DG-1-T-09-T-D2","DG-1","T",9,"T","12° 44.5648' N  36° 8.0440' E","DG-1-T-09-T",12.7427466666667,36.1340666666667
"130817","DG-1-T-09-M-D2","DG-1","T",9,"M","12° 44.5648' N  36° 8.0440' E","DG-1-T-09-M",12.7427466666667,36.1340666666667
"131073","DG-1-T-09-L-D2","DG-1","T",9,"L","12° 44.5648' N  36° 8.0440' E","DG-1-T-09-L",12.7427466666667,36.1340666666667
"131329","DG-1-T-12-T-D2","DG-1","T",12,"T","12° 44.5708' N  36° 8.0431' E","DG-1-T-12-T",12.7428466666667,36.1340516666667
"131585","DG-1-T-12-M-D2","DG-1","T",12,"M","12° 44.5708' N  36° 8.0431' E","DG-1-T-12-M",12.7428466666667,36.1340516666667
"131841","DG-1-T-12-L-D2","DG-1","T",12,"L","12° 44.5733' N  36° 8.0442' E","DG-1-T-12-L",12.7428883333333,36.13407
"132097","DG-1-T-15-T-D2","DG-1","T",15,"T","12° 44.5773' N  36° 8.0334' E","DG-1-T-15-T",12.742955,36.13389
"132353","DG-1-T-15-M-D2","DG-1","T",15,"M","12° 44.5773' N  36° 8.0334' E","DG-1-T-15-M",12.742955,36.13389
"132609","DG-1-T-15-L-D2","DG-1","T",15,"L","12° 44.5773' N  36° 8.0334' E","DG-1-T-15-L",12.742955,36.13389
"132865","DG-1-T-18-T-D2","DG-1","T",18,"T","12° 44.5499' N  36° 8.0060' E","DG-1-T-18-T",12.7424983333333,36.1334333333333
"133121","DG-1-T-18-M-D2","DG-1","T",18,"M","12° 44.5499' N  36° 8.0060' E","DG-1-T-18-M",12.7424983333333,36.1334333333333
"133377","DG-1-T-18-L-D2","DG-1","T",18,"L","12° 44.5499' N  36° 8.0060' E","DG-1-T-18-L",12.7424983333333,36.1334333333333
"133633","DG-1-T-21-T-D2","DG-1","T",21,"T","12° 44.5643' N  36° 7.9742' E","DG-1-T-21-T",12.7427383333333,36.1329033333333
"133889","DG-1-T-21-M-D2","DG-1","T",21,"M","12° 44.5643' N  36° 7.9742' E","DG-1-T-21-M",12.7427383333333,36.1329033333333
"134145","DG-1-T-21-L-D2","DG-1","T",21,"L","12° 44.5643' N  36° 7.9742' E","DG-1-T-21-L",12.7427383333333,36.1329033333333
"134401","DG-1-T-24-T-D2","DG-1","T",24,"T","12° 44.5643' N  36° 7.9742' E","DG-1-T-24-T",12.7427383333333,36.1329033333333
"134657","DG-1-T-24-M-D2","DG-1","T",24,"M","12° 44.5654' N  36° 7.9764' E","DG-1-T-24-M",12.7427566666667,36.13294
"134913","DG-1-T-24-L-D2","DG-1","T",24,"L","12° 44.5654' N  36° 7.9764' E","DG-1-T-24-L",12.7427566666667,36.13294
"135169","DG-1-T-27-T-D2","DG-1","T",27,"T","12° 44.5517' N  36° 7.9738' E","DG-1-T-27-T",12.7425283333333,36.1328966666667
"135425","DG-1-T-27-M-D2","DG-1","T",27,"M","12° 44.5517' N  36° 7.9738' E","DG-1-T-27-M",12.7425283333333,36.1328966666667
"135681","DG-1-T-27-L-D2","DG-1","T",27,"L","12° 44.5517' N  36° 7.9738' E","DG-1-T-27-L",12.7425283333333,36.1328966666667
"135937","DG-1-T-30-T-D2","DG-1","T",30,"T","12° 44.5489' N  36° 7.9744' E","DG-1-T-30-T",12.7424816666667,36.1329066666667
"136193","DG-1-T-30-M-D2","DG-1","T",30,"M","12° 44.5489' N  36° 7.9744' E","DG-1-T-30-M",12.7424816666667,36.1329066666667
"136449","DG-1-T-30-L-D2","DG-1","T",30,"L","12° 44.5452' N  36° 7.9827' E","DG-1-T-30-L",12.74242,36.133045
"136705","DG-1-I-03-T-D2","DG-1","I",3,"T","12° 44.5236' N  36° 8.1764' E","DG-1-I-03-T",12.74206,36.1362733333333
"136961","DG-1-I-03-M-D2","DG-1","I",3,"M","12° 44.5236' N  36° 8.1764' E","DG-1-I-03-M",12.74206,36.1362733333333
"137217","DG-1-I-03-L-D2","DG-1","I",3,"L","12° 44.5236' N  36° 8.1764' E","DG-1-I-03-L",12.74206,36.1362733333333
"137473","DG-1-I-06-T-D2","DG-1","I",6,"T","12° 44.5246' N  36° 8.2049' E","DG-1-I-06-T",12.7420766666667,36.1367483333333
"137729","DG-1-I-06-M-D2","DG-1","I",6,"M","12° 44.5246' N  36° 8.2049' E","DG-1-I-06-M",12.7420766666667,36.1367483333333
"137985","DG-1-I-06-L-D2","DG-1","I",6,"L","12° 44.5246' N  36° 8.2049' E","DG-1-I-06-L",12.7420766666667,36.1367483333333
"138241","DG-1-I-09-T-D2","DG-1","I",9,"T","12° 44.5323' N  36° 8.1981' E","DG-1-I-09-T",12.742205,36.136635
"138497","DG-1-I-09-M-D2","DG-1","I",9,"M","12° 44.5323' N  36° 8.1981' E","DG-1-I-09-M",12.742205,36.136635
"138753","DG-1-I-09-L-D2","DG-1","I",9,"L","12° 44.5323' N  36° 8.1981' E","DG-1-I-09-L",12.742205,36.136635
"139009","DG-1-I-12-T-D2","DG-1","I",12,"T","12° 44.5565' N  36° 8.1644' E","DG-1-I-12-T",12.7426083333333,36.1360733333333
"139265","DG-1-I-12-M-D2","DG-1","I",12,"M","12° 44.5587' N  36° 8.1633' E","DG-1-I-12-M",12.742645,36.136055
"139521","DG-1-I-12-L-D2","DG-1","I",12,"L","12° 44.5587' N  36° 8.1633' E","DG-1-I-12-L",12.742645,36.136055
"139777","DG-1-I-15-T-D2","DG-1","I",15,"T","12° 44.5568' N  36° 8.1570' E","DG-1-I-15-T",12.7426133333333,36.13595
"140033","DG-1-I-15-M-D2","DG-1","I",15,"M","12° 44.5568' N  36° 8.1570' E","DG-1-I-15-M",12.7426133333333,36.13595
"140289","DG-1-I-15-L-D2","DG-1","I",15,"L","12° 44.5568' N  36° 8.1570' E","DG-1-I-15-L",12.7426133333333,36.13595
"140545","DG-1-I-18-T-D2","DG-1","I",18,"T","12° 44.5505' N  36° 8.1337' E","DG-1-I-18-T",12.7425083333333,36.1355616666667
"140801","DG-1-I-18-M-D2","DG-1","I",18,"M","12° 44.5505' N  36° 8.1337' E","DG-1-I-18-M",12.7425083333333,36.1355616666667
"141057","DG-1-I-18-L-D2","DG-1","I",18,"L","12° 44.5505' N  36° 8.1337' E","DG-1-I-18-L",12.7425083333333,36.1355616666667
"141313","DG-1-I-21-T-D2","DG-1","I",21,"T","12° 44.5799' N  36° 8.1171' E","DG-1-I-21-T",12.7429983333333,36.135285
"141569","DG-1-I-21-M-D2","DG-1","I",21,"M","12° 44.5799' N  36° 8.1171' E","DG-1-I-21-M",12.7429983333333,36.135285
"141825","DG-1-I-21-L-D2","DG-1","I",21,"L","12° 44.5799' N  36° 8.1171' E","DG-1-I-21-L",12.7429983333333,36.135285
"142081","DG-1-I-24-T-D2","DG-1","I",24,"T","12° 44.5800' N  36° 8.1141' E","DG-1-I-24-T",12.743,36.135235
"142337","DG-1-I-24-M-D2","DG-1","I",24,"M","12° 44.5799' N  36° 8.1138' E","DG-1-I-24-M",12.7429983333333,36.13523
"142593","DG-1-I-24-L-D2","DG-1","I",24,"L","12° 44.5799' N  36° 8.1138' E","DG-1-I-24-L",12.7429983333333,36.13523
"142849","DG-1-I-27-T-D2","DG-1","I",27,"T","12° 44.5568' N  36° 8.1051' E","DG-1-I-27-T",12.7426133333333,36.135085
"143105","DG-1-I-27-M-D2","DG-1","I",27,"M","12° 44.5568' N  36° 8.1051' E","DG-1-I-27-M",12.7426133333333,36.135085
"143361","DG-1-I-27-L-D2","DG-1","I",27,"L","12° 44.5568' N  36° 8.1051' E","DG-1-I-27-L",12.7426133333333,36.135085
"143617","DG-1-I-30-T-D2","DG-1","I",30,"T","12° 44.5493' N  36° 8.1300' E","DG-1-I-30-T",12.7424883333333,36.1355
"143873","DG-1-I-30-M-D2","DG-1","I",30,"M","12° 44.5493' N  36° 8.1300' E","DG-1-I-30-M",12.7424883333333,36.1355
"144129","DG-1-I-30-L-D2","DG-1","I",30,"L","12° 44.5493' N  36° 8.1300' E","DG-1-I-30-L",12.7424883333333,36.1355
"144385","DG-1-O-1-T-D2","DG-1","O",1,"T","12° 44.5357' N  36° 8.1201' E","DG-1-O-1-T",12.7422616666667,36.135335
"144641","DG-1-O-1-M-D2","DG-1","O",1,"M","12° 44.5359' N  36° 8.1207' E","DG-1-O-1-M",12.742265,36.135345
"144897","DG-1-O-1-L-D2","DG-1","O",1,"L","12° 44.5381' N  36° 8.1187' E","DG-1-O-1-L",12.7423016666667,36.1353116666667
"145153","DG-1-O-2-T-D2","DG-1","O",2,"T","12° 44.5327' N  36° 8.1232' E","DG-1-O-2-T",12.7422116666667,36.1353866666667
"145409","DG-1-O-2-M-D2","DG-1","O",2,"M","12° 44.5327' N  36° 8.1232' E","DG-1-O-2-M",12.7422116666667,36.1353866666667
"145665","DG-1-O-2-L-D2","DG-1","O",2,"L","12° 44.5327' N  36° 8.1232' E","DG-1-O-2-L",12.7422116666667,36.1353866666667
"145921","DG-1-O-3-T-D2","DG-1","O",3,"T","12° 44.5327' N  36° 8.1232' E","DG-1-O-3-T",12.7422116666667,36.1353866666667
"146177","DG-1-O-3-M-D2","DG-1","O",3,"M","12° 44.5307' N  36° 8.1299' E","DG-1-O-3-M",12.7421783333333,36.1354983333333
"146433","DG-1-O-3-L-D2","DG-1","O",3,"L","12° 44.5307' N  36° 8.1299' E","DG-1-O-3-L",12.7421783333333,36.1354983333333
"146689","DG-1-O-4-T-D2","DG-1","O",4,"T","12° 44.5307' N  36° 8.1299' E","DG-1-O-4-T",12.7421783333333,36.1354983333333
"146945","DG-1-O-4-M-D2","DG-1","O",4,"M","12° 44.5355' N  36° 8.1478' E","DG-1-O-4-M",12.7422583333333,36.1357966666667
"147201","DG-1-O-4-L-D2","DG-1","O",4,"L","12° 44.5355' N  36° 8.1478' E","DG-1-O-4-L",12.7422583333333,36.1357966666667
